S: Platea Baja Norte,595
S: Platea Baja Sur,532
S: Cancha VIP,2310
S: Cancha General,1890
S: Diamante,126
S: Platinum 1/2 sillas,356
S: Platinum,631
S: Platea Zafiro,583
S: Platea Royal,358
S: Golden 1/2 sillas,264
S: Golden,582
S: Platea Alta 1/2 Sillas,790
S: Platea Alta,2731
S: Tribuna,96
S: Platea Baja Silver,667
S: Platea Baja,2731
S: Platea Baja Preferencial,1332
S: Diamante Central,42
S: Diamante Lateral,84
S: Silver,556
