,GananciaPorVendedor,ValorOptimo,TiempoEjecucion,SectoresHabilitadosDia0,SectoresHabilitadosDia1,SectoresHabilitadosDia2,SectoresHabilitadosDia3
0,80000.0,358667204.0,89.3733320236206,7.0,6.0,1.0,7.0
1,100000.0,356441940.0,84.65161037445068,6.0,4.0,4.0,6.0
2,120000.0,357430550.0,93.61851930618286,6.0,4.0,4.0,6.0
3,140000.0,361011115.0,81.63615441322327,7.0,4.0,3.0,7.0
