,CostoEntradas,ValorOptimo,TiempoEjecucion,SectoresHabilitadosDia0,SectoresHabilitadosDia1,SectoresHabilitadosDia2,SectoresHabilitadosDia3
0,0.5,82974187.0,88.99072074890137,7.0,4.0,3.0,7.0
1,1.0,356441940.0,84.24612736701965,6.0,4.0,4.0,6.0
2,1.5,635793340.0,84.81063485145569,7.0,5.0,2.0,7.0
3,2.0,912235659.0,77.84852290153503,7.0,5.0,2.0,7.0
